ImageID,XMin,YMin,XMax,YMax,Labels
000018acd19b4ad3,0.094727,0.002928,0.483398,0.916545,/m/04_r5c
000018acd19b4ad3,0.480469,0.111274,0.806641,0.701318,/m/04_r5c
000018acd19b4ad3,0.571289,0.171303,0.740234,0.42899,/m/04_r5c
00008206f111b234,0.145,0.078889,0.38625,0.408889,/m/04_r5c
00008206f111b234,0.155625,0.827778,0.25125,0.975556,/m/04_r5c
00008206f111b234,0.175625,0.688889,0.225625,0.755556,/m/04_r5c
00008206f111b234,0.176875,0.504444,0.269375,0.582222,/m/04_r5c
00008206f111b234,0.29,0.798889,0.366875,0.933333,/m/04_r5c
00008206f111b234,0.308125,0.504444,0.378125,0.577778,/m/04_r5c
00008206f111b234,0.313125,0.66,0.34875,0.736667,/m/04_r5c
00008206f111b234,0.48375,0.0,0.973125,0.998889,/m/04_r5c
00008206f111b234,0.47375,0.001111,0.963125,0.998889,/m/04_r5c
00008206f111b234,0.446875,0.0,0.999375,0.998889,/m/04_r5c
0001544a14436a9d,0.17963,0.397558,0.725926,0.782904,/m/04_r5c
0001544a14436a9d,0.174074,0.394844,0.72963,0.784261,/m/04_r5c
00017614428567ff,0.468125,0.109167,0.74875,0.8875,/m/021c5h
00017614428567ff,0.4825,0.111667,0.736875,0.876667,/m/021c5h
00017614428567ff,0.525,0.46,0.695,0.836667,/m/021c5h
0002003cef831f6f,0.282486,0.4725,0.787194,0.999375,/m/021c5h
0002003cef831f6f,0.303201,0.44375,0.720339,0.7325,/m/021c5h
0002003cef831f6f,0.30791,0.04375,0.640301,0.3,/m/021c5h
0002003cef831f6f,0.356874,0.23,0.671375,0.456875,/m/021c5h
00026cbfecc8ec06,0.0,0.0,0.999062,0.82375,/m/021c5h
00028af07aea0ea7,0.000625,0.0,1.0,1.0,/m/021c5h
0002912682d64112,0.170792,0.009934,0.955446,0.903974,/m/04_r5c
0002912682d64112,0.0,0.385762,0.415842,0.998344,/m/04_r5c
0002912682d64112,0.19802,0.02649,0.997525,0.773179,/m/04_r5c
0002912682d64112,0.0,0.221854,0.445545,0.998344,/m/04_r5c
0002912682d64112,0.002475,0.029801,0.997525,0.753311,/m/04_r5c
0002912682d64112,0.0,0.389073,0.443069,0.990066,/m/04_r5c
0002ae796e1f8eb5,0.257384,0.530648,0.49789,0.868652,/m/021c5h
0002ae796e1f8eb5,0.658228,0.544658,0.850211,0.854641,/m/021c5h
0002ae796e1f8eb5,0.046414,0.532399,0.191983,0.628722,/m/021c5h
0002ae796e1f8eb5,0.061181,0.050788,0.953587,0.497373,/m/021c5h
0002ae796e1f8eb5,0.175105,0.544658,0.459916,0.705779,/m/021c5h
0002ae796e1f8eb5,0.42616,0.444834,0.670886,0.591944,/m/021c5h
0003fc1ecea9bab3,0.657664,0.259124,0.915328,0.964234,/m/04_r5c
00041668df0b3b25,0.474375,0.37931,0.73375,0.820912,/m/04_r5c
00041668df0b3b25,0.463125,0.269188,0.82375,0.850945,/m/04_r5c
00041668df0b3b25,0.4675,0.260289,0.8125,0.852058,/m/04_r5c
00047bab5f8f23b7,0.0,0.32963,0.71125,0.846296,/m/04_r5c
00047bab5f8f23b7,0.0,0.0,0.999375,0.999074,/m/04_r5c
00047bab5f8f23b7,0.0,0.323148,0.70625,0.862963,/m/04_r5c
0004fa3aa5bdb9ff,0.490625,0.33302,0.50125,0.344309,/m/021c5h
0004fa3aa5bdb9ff,0.51,0.33302,0.52125,0.344309,/m/021c5h
0004fa3aa5bdb9ff,0.0,0.469426,0.09625,0.627469,/m/021c5h
0004fa3aa5bdb9ff,0.019375,0.492004,0.04125,0.526811,/m/021c5h
0004fa3aa5bdb9ff,0.09375,0.50047,0.14375,0.616181,/m/021c5h
0004fa3aa5bdb9ff,0.256875,0.486359,0.4475,0.598307,/m/021c5h
0004fa3aa5bdb9ff,0.3975,0.284102,0.56375,0.735654,/m/021c5h
0004fa3aa5bdb9ff,0.75375,0.486359,0.999375,0.619944,/m/021c5h
0004fa3aa5bdb9ff,0.458125,0.24365,0.556875,0.401693,/m/021c5h
0004fa3aa5bdb9ff,0.913125,0.486359,0.9325,0.503293,/m/021c5h
0004fa3aa5bdb9ff,0.020625,0.4873,0.04125,0.520226,/m/021c5h
0004fa3aa5bdb9ff,0.04125,0.468485,0.069375,0.5127,/m/021c5h
0004fa3aa5bdb9ff,0.10875,0.498589,0.125625,0.523989,/m/021c5h
0004fa3aa5bdb9ff,0.25875,0.492945,0.281875,0.556914,/m/021c5h
0004fa3aa5bdb9ff,0.30375,0.489182,0.31875,0.514581,/m/021c5h
0004fa3aa5bdb9ff,0.330625,0.4873,0.343125,0.514581,/m/021c5h
0004fa3aa5bdb9ff,0.37,0.494826,0.380625,0.518344,/m/021c5h
0004fa3aa5bdb9ff,0.48,0.286924,0.533125,0.35842,/m/021c5h
0004fa3aa5bdb9ff,0.854375,0.5127,0.86375,0.527752,/m/021c5h
0004fa3aa5bdb9ff,0.909375,0.505174,0.9325,0.52587,/m/021c5h
0004fa3aa5bdb9ff,0.938125,0.518344,0.959375,0.543744,/m/021c5h
0004fa3aa5bdb9ff,0.9725,0.523989,0.989375,0.553151,/m/021c5h
0004fa3aa5bdb9ff,0.98625,0.5127,0.999375,0.553151,/m/021c5h
0004fa3aa5bdb9ff,0.019375,0.489182,0.04125,0.52587,/m/021c5h
0004fa3aa5bdb9ff,0.0425,0.470367,0.074375,0.518344,/m/021c5h
0004fa3aa5bdb9ff,0.10375,0.496707,0.128125,0.539981,/m/021c5h
0004fa3aa5bdb9ff,0.138125,0.5127,0.16375,0.533396,/m/021c5h
0004fa3aa5bdb9ff,0.26125,0.492945,0.286875,0.537159,/m/021c5h
0004fa3aa5bdb9ff,0.3025,0.485419,0.441875,0.535278,/m/021c5h
